#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HBV" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HBV" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HBV" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HBV" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:HBV">
#                    <trait id="dateTrait.t:HBV" spec="beast.evolution.tree.TraitSet" traitname="date" value="AB033550_1988_33.3431887795_134.9307404236=1988,AB033554_1985_-2.3045941592_118.5275669247=1985,AB111946_1998_15.880672531_106.7863444469=1998,AB112066_1999_15.2357758333_97.1170427803=1999,AB112471_2002_10.826174473_100.0321841486=2002,AB117759_2004_11.8647366524_104.4581350327=2004,AB198076_2001_31.3068442593_109.4304560078=2001,AB205128_2000_67.7822238778_83.2782706988=2000,AB205190_2000_7.0869990345_-0.6788566207=2000,AB219428_2002_11.4823584448_122.5890168578=2002,AJ344117_1990_46.339250578_1.5156738165=1990,AY341335_2003_37.779236413_24.2931907174=2003,AY641558_2003_39.8942378947_126.8819515526=2003,AY721605_2004_39.1656946813_32.8656198791=2004,AY738147_1998_-4.6027905391_22.3356877351=1998,DQ060824_1983_-21.3700228571_19.1068796429=1983,DQ315776_2000_17.9831869307_84.5569572724=2000">
#                        <taxa id="TaxonSet.HBV" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HBV"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="KappaPrior.s:HBV" name="distribution">
#            <parameter id="kappa.s:HBV" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HBV" name="distribution" x="@popSize.t:HBV">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha">0.01</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta">100.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@HBV" id="treeLikelihood.HBV" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HBV">
#            <siteModel id="SiteModel.s:HBV" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HBV" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HBV" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HBV" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HBV" kappa="@kappa.s:HBV" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:HBV" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:HBV" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:HBV" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:HBV" name="clock.rate">2.0E-5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
16	-40268.6115408835	-40317.46340665262	-40268.6115408835	-48.85186576911336	-40268.6115408835	22.1250657444448	6.135345497916895	4.938773622049097	-39.40758679151527	0.303712022801307	0.19470707452888572	0.29164652658787177	0.20993437608193538
17	-39818.43080158541	-39854.35622162303	-39818.43080158541	-35.92542003761672	-39818.43080158541	22.16928875701574	14.692352265589653	1.7228216089577364	-25.98366398758586	0.3024853412089179	0.1941170110653264	0.2921749084396315	0.2112227392861241
18	-39766.12676214703	-39811.70456721771	-39766.12676214703	-45.57780507067995	-39766.12676214703	24.92541745424095	1.7449996529930478	2.8629701425724865	-38.10059700259945	0.3422070430621397	0.16168818999872842	0.35289158428246103	0.14321318265667088
19	-39366.69347636618	-39401.56084833073	-39366.69347636618	-34.86737196454949	-39366.69347636618	23.68993944605034	3.2171395239866767	1.895965131878271	-27.249890573524908	0.3030078392009201	0.16611600845408814	0.3613883217128582	0.16948783063213366
20	-38925.55018345152	-38977.227401347576	-38925.55018345152	-51.67721789605225	-38925.55018345152	26.252008960779648	14.99766117559857	4.235573910736601	-40.77686167345246	0.32114073944848387	0.16542993096429037	0.3154662708516968	0.19796305873552894
21	-38864.88610731703	-38929.693890804025	-38864.88610731703	-64.80778348699515	-38864.88610731703	38.26936756260429	7.960612271397465	14.674772715351125	-53.77018745314484	0.3114898398276632	0.17867425993592165	0.3001829946058332	0.20965290563058184
22	-38858.25621015081	-38890.82381791788	-38858.25621015081	-32.56760776707043	-38858.25621015081	22.485030330973437	15.390047308746515	2.0453105812230272	-22.355573473990166	0.29320143984128344	0.1678143618048724	0.3324324580553961	0.20655174029844803
23	-38686.27905503597	-38720.4319103771	-38686.27905503597	-34.15285534112987	-38686.27905503597	22.6268564314643	2.626218726117107	2.009644006383937	-26.688242266930317	0.34623227623724573	0.1481005355791712	0.3646068326176114	0.14106035556597174
24	-38611.04866000351	-38653.754417945216	-38611.04866000351	-42.70575794171225	-38611.04866000351	21.367907953686434	5.577644719185254	3.031089949610408	-33.90591359909977	0.3534613202757018	0.13355724779618036	0.3527473107231442	0.16023412120497366
25	-38498.497909120255	-38548.96748900693	-38498.497909120255	-50.46957988667681	-38498.497909120255	37.192467839795626	3.5221554593823536	3.2782543714229453	-42.193194516974835	0.3513389793571833	0.1484516149051751	0.3680216491008487	0.1321877566367929
26	-38037.86869055265	-38084.430434581074	-38037.86869055265	-46.56174402842705	-38037.86869055265	26.773152190242868	4.578524386405221	5.181234798430449	-37.48536149207971	0.29634253727831256	0.19600745493880412	0.29361092678903605	0.21403908099384716
27	-38013.4889981727	-38059.677124348906	-38013.4889981727	-46.18812617620638	-38013.4889981727	23.401211015692212	16.617098918614182	3.718425047896082	-35.20387609430292	0.28789796652677513	0.20938459597572326	0.28060439074652466	0.22211304675097687
28	-37874.68468010395	-37940.73477362083	-37874.68468010395	-66.05009351687963	-37874.68468010395	40.23752024929447	3.3647899130841106	9.662673775214683	-56.692331940695254	0.2917874387662857	0.20938459597572326	0.27364911022385513	0.22517885503413582
29	-37841.40239178925	-37897.079201887274	-37841.40239178925	-55.67681009802743	-37841.40239178925	31.477436619491947	1.5564462577452878	7.482941293103181	-47.2799703279612	0.32344781226207586	0.1713878381975963	0.29220448959843165	0.21295985994189595
30	-37694.48607815748	-37738.5208577442	-37694.48607815748	-44.03477958671788	-37694.48607815748	25.163125025980452	9.43428744541743	3.516684809415438	-34.227214142070366	0.311488219254494	0.20221866650350617	0.27781878754850275	0.20847432669349697
31	-37581.658841477016	-37637.2168155447	-37581.658841477016	-55.557974067681016	-37581.658841477016	31.983309517963836	4.330033099448223	5.772732731760065	-46.442080485490095	0.3080186521369253	0.17293536219125397	0.28772689949467717	0.23131908617714347
32	-37391.05185839606	-37456.102422251926	-37391.05185839606	-65.0505638558685	-37391.05185839606	29.26158813359803	6.986848176076606	10.814124713102286	-54.56855342913519	0.3230817197586127	0.1722814816974051	0.3368930366785731	0.16774376186540924
33	-37194.11304406095	-37266.28255726916	-37194.11304406095	-72.16951320821293	-37194.11304406095	45.95337270087787	15.6506927414464	15.115039182659908	-59.81112356576061	0.28453487552744	0.22140820010924783	0.2824015235571644	0.2116554008061477
34	-37188.203496961	-37237.395232561976	-37188.203496961	-49.19173560097206	-37188.203496961	31.159998095461	3.2313833285354265	7.054992730453	-40.21689613598798	0.3249854573861932	0.17776484091774214	0.3289467441223174	0.16830295757374736
35	-37176.77917612733	-37234.96129592101	-37176.77917612733	-58.18211979367756	-37176.77917612733	26.162071126396597	0.4350384967514281	9.124325255109943	-49.87238132764617	0.336526560526366	0.1704872901733334	0.36211128310450924	0.13087486619579144
36	-37079.99001311445	-37145.698551922316	-37079.99001311445	-65.70853880786034	-37079.99001311445	32.71584379810568	1.6480687837428958	11.934813571025243	-56.76718108021275	0.32573433902375176	0.17145475971083346	0.33005723106783613	0.17275367019757876
37	-36837.88860650287	-36880.36814635271	-36837.88860650287	-42.479539849840364	-36837.88860650287	25.373925756380956	2.673751167347016	2.970990098848052	-34.600640249419506	0.316315996048051	0.18209557550295474	0.33876593999243815	0.1628224884565562
38	-36714.61085206062	-36780.10347483614	-36714.61085206062	-65.4926227755239	-36714.61085206062	35.76361105292129	9.8241231922828	11.549022234280727	-54.354282033425875	0.28146549671450866	0.2152554623444396	0.2811659941900748	0.22211304675097687
39	-36699.8233949079	-36738.07134499014	-36699.8233949079	-38.247950082240045	-36699.8233949079	22.101437726836213	3.4170924795317856	1.7445775485418833	-30.64640293357177	0.3249854573861932	0.18417145241948343	0.33402989608289835	0.15681319411142516
40	-36665.4023566992	-36729.6047410891	-36665.4023566992	-64.20238438990286	-36665.4023566992	29.37408665833769	10.213914815128193	9.431381047835282	-53.21436247651999	0.2962841548759281	0.18053245992959807	0.35320642612471453	0.16997695906975938
41	-36401.93921323685	-36474.171600549045	-36401.93921323685	-72.23238731219486	-36401.93921323685	66.26161723732316	4.549378606646106	19.80771772059819	-61.69062596825572	0.303476164787499	0.19967871643725574	0.3271650433962618	0.16968007537898352
42	-36366.672315622185	-36435.974015793276	-36366.672315622185	-69.30170017109354	-36366.672315622185	30.24644097185324	3.996851563024181	15.172704332633865	-59.23699246319264	0.2912146952081854	0.21198293397304535	0.2536730191896274	0.2431293516291418
43	-36256.66488806876	-36314.673153824915	-36256.66488806876	-58.0082657561544	-36256.66488806876	26.370389096688744	10.39053618842501	9.645644598861267	-46.96409866380624	0.3689573685104784	0.124756767076174	0.3661663664474106	0.14011949796593703
44	-36164.24658740514	-36198.79971075958	-36164.24658740514	-34.553123354436536	-36164.24658740514	25.602147220623763	4.729607779331645	1.152426464960683	-26.961534950315247	0.31087530629430443	0.1859573224705752	0.30311609455857946	0.20005127667654077
45	-36156.67779030875	-36200.715656960216	-36156.67779030875	-44.03786665146972	-36156.67779030875	23.349735084022	5.301451491397842	3.00038491304064	-35.3217319022803	0.3505070501989843	0.1371366784771565	0.36096216891380056	0.15139410241005863
46	-36147.01837947406	-36228.42585175192	-36147.01837947406	-81.4074722778584	-36147.01837947406	81.2056192403764	11.59015237674963	18.13077121221355	-69.44681604627262	0.29980623268027046	0.20696939161882844	0.29234008688555263	0.20088428881534842
